code;nom;categorie;type_unite;prix_achat;prix_comprime;prix_plaquette;prix_flacon;comprimes_par_plaquette;quantite_stock;stock_a_ajouter;seuil_alerte;date_expiration;description
MED-0001;Prednisolone 500mg;Antalgiques;comprime_plaquette;1670;3137;24566;0;8;712;0;28;2028-09-13;Vente par comprimé ou plaquette — import catalogue
MED-0002;Ibuprofène 5mg;Vitamines;comprime_plaquette;105;230;3313;0;15;47;0;22;2027-09-24;Vente par comprimé ou plaquette — import catalogue
MED-0003;Fluconazole 10mg;Antipaludéens;comprime_plaquette;585;1002;14872;0;15;797;0;30;2027-08-15;Vente par comprimé ou plaquette — import catalogue
MED-0004;Fluconazole 50mg;Dermatologie;comprime_plaquette;614;1238;14856;0;12;364;0;8;2027-06-07;Vente par comprimé ou plaquette — import catalogue
MED-0005;Acide folique 500mg;Antihypertenseurs;comprime_plaquette;951;1508;18096;0;12;767;0;19;2028-09-04;Vente par comprimé ou plaquette — import catalogue
MED-0006;Metronidazole 50mg;Antidiabétiques;comprime_plaquette;1270;2361;18888;0;8;390;0;23;2027-09-17;Vente par comprimé ou plaquette — import catalogue
MED-0007;Sirop antipaludéen 60ml;Antipaludéens;flacon;987;0;0;6917;0;34;0;29;2027-12-26;Vente par flacon — import catalogue
MED-0008;Ibuprofène 400mg;Sirops;comprime_plaquette;289;513;15390;0;30;393;0;10;2028-03-18;Vente par comprimé ou plaquette — import catalogue
MED-0009;Fer 400mg;Gastro;comprime_plaquette;788;1193;28632;0;24;93;0;24;2028-12-14;Vente par comprimé ou plaquette — import catalogue
MED-0010;Azithromycine 10mg;Ophtalmologie;comprime_plaquette;549;1102;26448;0;24;675;0;27;2028-09-25;Vente par comprimé ou plaquette — import catalogue
MED-0011;Chloroquine 1000mg;Pédiatrie;comprime_plaquette;2217;3247;89867;0;30;343;0;17;2027-12-04;Vente par comprimé ou plaquette — import catalogue
MED-0012;Ibuprofène 400mg;Gynécologie;comprime_plaquette;1654;3040;60800;0;20;425;0;25;2028-06-16;Vente par comprimé ou plaquette — import catalogue
MED-0013;Ciprofloxacine 875mg;Antihistaminiques;comprime_plaquette;747;1110;11100;0;10;784;0;23;2028-05-16;Vente par comprimé ou plaquette — import catalogue
MED-0014;Sirop vitamine 15ml #14;Vitamines;flacon;2435;0;0;4465;0;33;0;9;2028-08-07;Vente par flacon — import catalogue
MED-0015;Amlodipine 500mg;Antibiotiques;comprime_plaquette;206;292;8171;0;30;716;0;18;2028-11-04;Vente par comprimé ou plaquette — import catalogue
MED-0016;Ibuprofène 50mg;Antalgiques;comprime_plaquette;1902;2540;38100;0;15;586;0;5;2029-01-29;Vente par comprimé ou plaquette — import catalogue
MED-0017;Albendazole 500mg;Vitamines;comprime_plaquette;1552;2299;55176;0;24;368;0;8;2027-12-30;Vente par comprimé ou plaquette — import catalogue
MED-0018;Oméprazole 100mg;Antipaludéens;comprime_plaquette;83;113;1695;0;15;289;0;21;2027-09-03;Vente par comprimé ou plaquette — import catalogue
MED-0019;Losartan 500mg;Dermatologie;comprime_plaquette;1435;2661;79830;0;30;643;0;11;2027-08-08;Vente par comprimé ou plaquette — import catalogue
MED-0020;Fer 100mg;Antihypertenseurs;comprime_plaquette;2390;3289;65780;0;20;633;0;15;2028-07-17;Vente par comprimé ou plaquette — import catalogue
MED-0021;Sirop paracétamol 60ml #21;Sirops;flacon;1258;0;0;4473;0;44;0;12;2027-05-03;Vente par flacon — import catalogue
MED-0022;Chloroquine 5mg;Antiseptiques;comprime_plaquette;301;450;3600;0;8;798;0;22;2027-07-11;Vente par comprimé ou plaquette — import catalogue
MED-0023;Ciprofloxacine 200mg;Sirops;comprime_plaquette;410;776;15520;0;20;453;0;11;2028-09-07;Vente par comprimé ou plaquette — import catalogue
MED-0024;Zinc 400mg;Gastro;comprime_plaquette;783;1376;33024;0;24;402;0;19;2028-08-15;Vente par comprimé ou plaquette — import catalogue
MED-0025;Metformine 500mg;Ophtalmologie;comprime_plaquette;478;1020;9835;0;10;622;0;12;2027-03-12;Vente par comprimé ou plaquette — import catalogue
MED-0026;Ibuprofène 250mg (ref 26);Pédiatrie;comprime_plaquette;271;376;3760;0;10;92;0;21;2027-11-03;Vente par comprimé ou plaquette — import catalogue
MED-0027;Artéméther 200mg (ref 27);Gynécologie;comprime_plaquette;1130;2308;23080;0;10;604;0;23;2028-07-01;Vente par comprimé ou plaquette — import catalogue
MED-0028;Lotion cutanée 100ml #28;Dermatologie;flacon;4013;0;0;5374;0;57;0;11;2027-06-09;Vente par flacon — import catalogue
MED-0029;Metronidazole 50mg (ref 29);Cardiologie;comprime_plaquette;1051;1834;22008;0;12;75;0;26;2029-01-02;Vente par comprimé ou plaquette — import catalogue
MED-0030;Prednisolone 500mg (ref 30);Antibiotiques;comprime_plaquette;1169;1749;13992;0;8;131;0;12;2027-09-17;Vente par comprimé ou plaquette — import catalogue
MED-0031;Doxycycline 10mg (ref 31);Antalgiques;comprime_plaquette;388;674;9503;0;15;97;0;19;2028-09-18;Vente par comprimé ou plaquette — import catalogue
MED-0032;Metronidazole 250mg (ref 32);Vitamines;comprime_plaquette;1621;2314;55536;0;24;791;0;12;2027-08-22;Vente par comprimé ou plaquette — import catalogue
MED-0033;Oméprazole 200mg (ref 33);Antipaludéens;comprime_plaquette;691;975;14625;0;15;188;0;17;2027-03-07;Vente par comprimé ou plaquette — import catalogue
MED-0034;Acide folique 875mg (ref 34);Dermatologie;comprime_plaquette;1944;3315;99450;0;30;768;0;30;2028-09-24;Vente par comprimé ou plaquette — import catalogue
MED-0035;Collyre 200ml #35;Ophtalmologie;flacon;1434;0;0;3055;0;42;0;11;2027-05-03;Vente par flacon — import catalogue
MED-0036;Tramadol 10mg (ref 36);Antidiabétiques;comprime_plaquette;1720;3163;24244;0;8;563;0;10;2027-05-02;Vente par comprimé ou plaquette — import catalogue
MED-0037;Losartan 500mg (ref 37);Antiseptiques;comprime_plaquette;405;861;25544;0;30;433;0;8;2028-10-08;Vente par comprimé ou plaquette — import catalogue
MED-0038;Chloroquine 5mg (ref 38);Sirops;comprime_plaquette;166;262;5240;0;20;617;0;23;2028-08-21;Vente par comprimé ou plaquette — import catalogue
MED-0039;Vitamine B 875mg (ref 39);Gastro;comprime_plaquette;1890;2843;27055;0;10;707;0;25;2028-01-06;Vente par comprimé ou plaquette — import catalogue
MED-0040;Metformine 1000mg (ref 40);Ophtalmologie;comprime_plaquette;179;397;11910;0;30;596;0;8;2027-05-19;Vente par comprimé ou plaquette — import catalogue
MED-0041;Céfixime 400mg (ref 41);Pédiatrie;comprime_plaquette;580;1186;23720;0;20;90;0;12;2028-03-17;Vente par comprimé ou plaquette — import catalogue
MED-0042;Solution buvable 120ml #42;Pédiatrie;flacon;1446;0;0;5089;0;74;0;27;2028-01-08;Vente par flacon — import catalogue
MED-0043;Diclofénac 10mg (ref 43);Antihistaminiques;comprime_plaquette;1970;2835;22069;0;8;157;0;13;2027-07-01;Vente par comprimé ou plaquette — import catalogue
MED-0044;Metronidazole 10mg (ref 44);Cardiologie;comprime_plaquette;649;1215;11511;0;10;723;0;25;2027-11-30;Vente par comprimé ou plaquette — import catalogue
MED-0045;Losartan 200mg (ref 45);Antibiotiques;comprime_plaquette;147;308;3696;0;12;303;0;6;2027-03-08;Vente par comprimé ou plaquette — import catalogue
MED-0046;Vitamine B 100mg (ref 46);Antalgiques;comprime_plaquette;584;1172;28128;0;24;742;0;18;2028-09-29;Vente par comprimé ou plaquette — import catalogue
MED-0047;Paracétamol 500mg (ref 47);Vitamines;comprime_plaquette;2113;2930;23440;0;8;398;0;23;2028-09-20;Vente par comprimé ou plaquette — import catalogue
